frequency_khz,name,band,cover
94200,Радио России / ГТРК Пенза,FM,094200_radio_rossii.webp
94700,Радио Вера,FM,094700_radio_vera.webp
95200,Радио Маяк,FM,095200_radio_mayak.webp
95600,Ретро FM,FM,095600_retro_fm.webp
96000,Вести FM,FM,096000_vesti_fm.webp
96400,Love Radio,FM,096400_love_radio.webp
97000,Радио Record,FM,097000_radio_record.webp
97500,Радио Дача,FM,097500_radio_dacha.webp
98000,Радио Гордость,FM,098000_radio_gordost.webp
98700,Like FM,FM,098700_like_fm.webp
99100,Детское радио,FM,099100_detskoe_radio.webp
99600,Радио ENERGY,FM,099600_radio_energy.webp
100100,Радио 7 на семи холмах,FM,100100_radio_7.webp
101400,Серебряный Дождь,FM,101400_silver_rain.webp
101800,Радио 101.8,FM,101800_radio_101_8.webp
102300,Авторадио,FM,102300_avtoradio.webp
102800,Comedy Radio,FM,102800_comedy_radio.webp
103300,Родное Радио,FM,103300_rodnoe_radio.webp
103800,Европа Плюс,FM,103800_europa_plus.webp
104300,Дорожное радио,FM,104300_dorozhnoe_radio.webp
104800,Русское Радио,FM,104800_russkoe_radio.webp
105200,Радио Экспресс,FM,105200_radio_express.webp
105600,Новое Радио,FM,105600_novoe_radio.webp
106700,Юмор FM,FM,106700_yumor_fm.webp
107500,Radio Monte Carlo,FM,107500_monte_carlo.webp
