frequency_khz,frequency_mhz,input_label,current_station,cover_file,source_url,source_kind,notes
94200,94.2,"Радио России / ГТРК Пенза","Радио России / ГТРК Пенза",094200_radio_rossii.webp,https://vgtrk.ru/i/logo-russia-radio.svg,official,"Сетевой логотип; региональная версия ГТРК Пенза отдельно не опубликована как стабильный asset"
94700,94.7,"Радио Вера","Радио Вера",094700_radio_vera.webp,https://radiovera.ru/wp-content/uploads/2022/06/Logo_RV_square.png,official,"Прозрачный логотип высокого разрешения"
95200,95.2,"Радио Маяк","Радио Маяк",095200_radio_mayak.webp,https://vgtrk.ru/i/logo-mayak.svg,official,""
95600,95.6,"Ретро FM","Ретро FM",095600_retro_fm.webp,https://retrofm.ru/_nuxt/logo.CcDe0IHs.png,official,""
96000,96.0,"Вести ФМ","Вести FM",096000_vesti_fm.webp,https://vgtrk.ru/i/logo-vesti-fml.svg,official,""
96400,96.4,"Love Радио","Love Radio",096400_love_radio.webp,https://www.loveradio.ru/logo.png,official,"Прозрачный логотип высокого разрешения"
97000,97.0,"Радио Рекорд","Радио Record",097000_radio_record.webp,https://www.radiorecord.ru/images/record-logo-prod.svg,official,"Векторный логотип"
97500,97.5,"Радио Дача","Радио Дача",097500_radio_dacha.webp,https://radiodacha.ru/logo2.png,official-restored,"Restored from the official low-resolution logo; exact two-colour artwork"
98000,98.0,"(ПЛАН) Радио Гордость","Радио Гордость",098000_radio_gordost.webp,https://xn--80agcbs0bbbkgnm4k.xn--p1ai/local/templates/site/build/assets/logo-91i_bJWh.svg,official,"Станция уже вещает; пометка ПЛАН устарела"
98700,98.7,"Like FM","Like FM",098700_like_fm.webp,https://likefm.ru/design/images/design-images/logo-sprite.svg?ver=1,official-prepared,"Официальный vector symbol сохранён как самостоятельный SVG с фирменными цветами"
99100,99.1,"Детское радио","Детское радио",099100_detskoe_radio.webp,https://detifm.ru/design/images/img_for_design/logos/dr_logo_svg.svg,official,""
99600,99.6,"Радио Энергия / NRJ","Радио ENERGY",099600_radio_energy.webp,https://www.energyfm.ru/design/images/site-design/logo/logo-v2.svg,official,""
100100,100.1,"Радио 7 на семи холмах","Радио 7 на семи холмах",100100_radio_7.webp,https://radio7.ru/og.jpeg,official,""
101400,101.4,"Серебряный дождь","Серебряный Дождь",101400_silver_rain.webp,https://silver.ru/local/templates/silver/images/logo-sidebar.svg,official,"Векторный логотип"
101800,101.8,"Радио 101.8","Радио 101.8",101800_radio_101_8.webp,https://top-radio.ru/assets/image/radio/180/radio1018.jpg,catalog-restored,"Официальная страница tv-express.ru защищена; малый каталоговый исходник восстановлен в высоком разрешении"
102300,102.3,"Авторадио","Авторадио",102300_avtoradio.webp,https://www.avtoradio.ru/design/images/site-design/avtoradio-logo.png,official-restored,"Малый официальный PNG восстановлен в высоком разрешении"
102800,102.8,"Мост Радио / Comedy Radio","Comedy Radio",102800_comedy_radio.webp,https://comedy-radio.ru/design/images/logo/Logo_ComedyRadio.svg,official,"Comedy Radio вещает с 06.07.2024; Мост Радио — прежняя станция"
103300,103.3,"Родное Радио","Родное Радио",103300_rodnoe_radio.webp,https://topradio.me/assets/image/radio/180/rodnoe-radio-103.png,catalog-restored,"Официальный сайт trkz.ru подтверждает станцию; малый каталоговый исходник восстановлен в высоком разрешении"
103800,103.8,"Европа Плюс","Европа Плюс",103800_europa_plus.webp,https://europaplus.ru/tg.png,official,""
104300,104.3,"Дорожное радио","Дорожное радио",104300_dorozhnoe_radio.webp,https://dorognoe.ru/assets/logos/dor.svg,official,""
104800,104.8,"Русское Радио","Русское Радио",104800_russkoe_radio.webp,https://rusradio.ru/logo.svg,official,""
105200,105.2,"Экспресс FM","Радио Экспресс",105200_radio_express.webp,https://topradio.me/assets/image/radio/180/expres-penza.png,catalog-restored,"Официальная страница tv-express.ru подтверждает станцию; малый каталоговый исходник восстановлен в высоком разрешении"
105600,105.6,"Новое Радио","Новое Радио",105600_novoe_radio.webp,https://newradio.ru/images/Logo.svg,official,""
106700,106.7,"Юмор FM","Юмор FM",106700_yumor_fm.webp,https://veseloeradio.ru/design/images/assets/img/logo%281%29.png,official,""
107500,107.5,"Эхо Пензы","Radio Monte Carlo",107500_monte_carlo.webp,https://montecarlo.ru/static/1200x630.jpg,official,"Radio Monte Carlo вещает с 2023 года; Эхо Пензы — прежняя станция"
